IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;CIRCUITOS ELECTRICOS;COMPUTACION I;COMPUTACION II;CALCULO I;CALCULO II;CALCULO III;CALCULO IV;CALCULO V;CALCULO VI;DISENO ASISTIDO POR COMPUTADORA I;DISENO ASISTIDO POR COMPUTADORA II;DISENO TECNICO;ESTRUCTURAS I;ESTRUCTURAS II;ESTRUCTURAS III;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES II;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FISICA I;FISICA II;FISICA III;FISICA IV;FISICA V;FISICA VI;GEOMETRIA ANALITICA;GEOTECNIA I;GEOTECNIA II;HIDRAULICA I;HIDRAULICA II;HORMIGON ARMADO I;IDIOMAS  I;INGLES I;INGLES II;INGLES III;LABORATORIO DE IDIOMAS I;MATERIALES DE OBRAS CIVILES;MECANICA DE MATERIALES I;MECANICA DE MATERIALES II;MECANICA VECTORIAL I;MECANICA VECTORIAL II;METODOLOGIA DE LA INVESTIGACION I;METODOLOGIA DE LA INVESTIGACION II;PROBABILIDAD Y ESTADISTICA;QUIMICA;TECNOLOGIA DEL HORMIGON;TOPOGRAFIA;VIAS DE COMUNICACION I;VIAS DE COMUNICACION II;ALGEBRA LINEAL I;ALGEBRA LINEAL II;ETICA PROFESIONAL
5001;3.0;2;0.0;1;3;0;10.0;1.96;3.0;2.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;3.0;3.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0
5002;2.0;1;0.0;3;2;0;7.0;3.1746031746031744;5.0;3.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;4.0;4.0;4.0;4.0;5.0;3.0;2.0;3.0;3.0;4.0;5.0;2.0;4.0;2.0;2.0;3.0;4.0;2.0;5.0;5.0;5.0;4.0;4.0;4.0;2.0;2.0;2.0;4.0;3.0;5.0;4.0;4.0;5.0;4.0;3.0;3.0;4.0;2.0;3.0
5003;2.0;1;0.0;5;9;1;4.0;3.05;4.0;2.0;4.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;4.0;4.0;5.0;2.0;3.0;2.0;5.0;4.0;4.0;4.0;5.0;5.0;3.0;2.0;4.0;4.0;3.0;5.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;5.0;4.0;5.0;3.0;3.0;4.0;3.0;3.0;3.0;2.0;3.0;4.0;2.0;3.0;5.0;3.0;3.0;3.0;2.0;2.0;4.0
5004;3.0;2;0.0;2;6;0;3.0;2.8285714285714287;5.0;3.0;4.0;3.0;2.0;2.0;0.0;0.0;0.0;0.0;3.0;3.0;4.0;4.0;0.0;0.0;4.0;4.0;4.0;4.0;0.0;0.0;3.0;2.0;2.0;2.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;3.0;0.0;3.0;0.0;0.0;3.0;0.0;3.0;0.0;3.0;3.0;2.0;3.0;0.0;0.0;2.0;2.0;0.0
5005;4.0;1;0.0;5;10;1;2.0;4.170731707317073;5.0;5.0;4.0;3.0;3.0;5.0;5.0;5.0;5.0;0.0;4.0;4.0;4.0;2.0;0.0;0.0;4.0;5.0;5.0;5.0;0.0;0.0;4.0;5.0;4.0;5.0;5.0;5.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;4.0;5.0;4.0;5.0;0.0;5.0;2.0;0.0;4.0;4.0;4.0;0.0;4.0;5.0;4.0;5.0;0.0;0.0;5.0;3.0;0.0
5006;2.0;1;1.0;4;2;1;3.0;3.1136363636363638;0.0;0.0;0.0;0.0;3.0;3.0;2.0;2.0;3.0;4.0;3.0;5.0;0.0;3.0;3.0;4.0;0.0;0.0;5.0;4.0;5.0;5.0;3.0;0.0;4.0;0.0;3.0;3.0;3.0;0.0;2.0;2.0;3.0;4.0;2.0;4.0;0.0;0.0;2.0;3.0;3.0;2.0;2.0;2.0;3.0;3.0;5.0;5.0;0.0;3.0;4.0;3.0;3.0;0.0;0.0;4.0
5007;4.0;2;0.0;5;7;0;23.0;2.0952380952380953;4.0;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;2.0;0.0;0.0;3.0;4.0;4.0;5.0;5.0;5.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;2.0;3.0;3.0;3.0;0.0;0.0;2.0;0.0;3.0;3.0;2.0;3.0;2.0;2.0;2.0;0.0;2.0;2.0;3.0
5009;2.0;1;1.0;4;5;1;1.0;3.4634146341463414;0.0;4.0;0.0;0.0;0.0;0.0;3.0;2.0;4.0;5.0;5.0;4.0;0.0;4.0;3.0;4.0;0.0;0.0;3.0;4.0;5.0;5.0;4.0;0.0;2.0;0.0;4.0;3.0;4.0;0.0;2.0;2.0;2.0;2.0;2.0;4.0;0.0;0.0;3.0;4.0;4.0;4.0;3.0;2.0;4.0;5.0;5.0;5.0;0.0;5.0;3.0;3.0;2.0;0.0;0.0;3.0
5011;2.0;2;0.0;5;8;0;3.0;2.864406779661017;5.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;4.0;3.0;4.0;3.0;4.0;3.0;4.0;4.0;4.0;4.0;5.0;5.0;3.0;2.0;2.0;3.0;3.0;4.0;4.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;4.0;4.0;3.0;4.0;3.0;2.0;2.0;2.0;2.0;3.0;3.0;4.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;4.0
5012;3.0;1;0.0;2;4;2;2.0;2.96875;3.0;2.0;3.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;4.0;0.0;5.0;3.0;0.0;0.0;5.0;5.0;5.0;5.0;0.0;0.0;3.0;2.0;3.0;3.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0;4.0;0.0;3.0;0.0;0.0;2.0;0.0;2.0;0.0;3.0;3.0;2.0;0.0;0.0;0.0;3.0;2.0;0.0
