IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;ALGEBRA  II;ALGEBRA I;AUTOMATIZACION INDUSTRIAL;CIRCUITOS ELECTRICOS I;CIRCUITOS ELECTRICOS II;COMPUTACION II;COMPUTACION I;CONVERSION DE ENERGIA ELECTRICA  II;CONVERSION DE ENERGIA ELECTRICA I;CALCULO I;CALCULO II;CALCULO III;CALCULO IV;CALCULO V;DISENO ASISTIDO POR COMPUTADORA;DISENO TECNICO;ELECTROTECNIA I;ELECTROTECNIA II;ELECTRONICA DE POTENCIA  II;ELECTRONICA DE POTENCIA I;ELECTRONICA DIGITAL I;ELECTRONICA DIGITAL II;ELECTRONICA I;ELECTRONICA II;EMPRENDEDORISMO;EVENTOS Y DEPORTES  II;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FISICA II;FISICA IV;FUNDAMENTOS DE CONTROL AUTOMATIZADO I;FUNDAMENTOS DE CONTROL AUTOMATIZADO II;FISICA  V;FISICA I;FISICA III;FISICA VI;GEOMETRIA ANALITICA;IDIOMAS I;INGLES I;INGLES II;INGLES III;INSTALACIONES ELECTRICAS I;INSTALACIONES ELECTRICAS II;INSTALACIONES ELECTRICAS III;LABORATORIO DE IDIOMAS I;MEDICION E INSTRUMENTACION;METODOLOGIA DE LA INVESTIGACION I;PROBABILIDADES Y ESTADISTICAS;PROGRAMACION EN LENGUAJES DE COMPUTADORA;QUIMICA;SEGURIDAD E HIGIENE LABORAL;ETICA PROFESIONAL
5132.0;4.0;1.0;0.0;5.0;3.0;1.0;19.0;2.393939393939394;4.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;4.0;2.0;2.0;2.0;3.0;3.0;4.0;2.0;4.0;2.0;4.0;5.0;4.0;5.0;5.0;0.0;0.0;2.0;3.0;5.0;2.0;4.0;0.0;2.0;2.0;0.0;1.0;3.0;4.0;3.0;3.0;4.0;2.0;3.0;3.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0
5133.0;2.0;1.0;0.0;3.0;4.0;0.0;3.0;3.0166666666666666;2.0;3.0;2.0;4.0;2.0;3.0;4.0;3.0;2.0;2.0;3.0;3.0;2.0;4.0;2.0;5.0;3.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;4.0;5.0;5.0;5.0;5.0;4.0;2.0;4.0;2.0;4.0;2.0;4.0;4.0;2.0;2.0;3.0;3.0;3.0;3.0;2.0;4.0;3.0;2.0;2.0;3.0;3.0;4.0;3.0;4.0;3.0
5134.0;2.0;1.0;0.0;4.0;1.0;0.0;8.0;2.9384615384615387;3.0;2.0;2.0;4.0;2.0;3.0;3.0;3.0;3.0;4.0;2.0;3.0;3.0;3.0;4.0;5.0;2.0;3.0;2.0;3.0;3.0;4.0;2.0;3.0;3.0;4.0;4.0;3.0;5.0;5.0;5.0;5.0;3.0;3.0;4.0;3.0;4.0;4.0;3.0;4.0;5.0;3.0;4.0;3.0;2.0;3.0;3.0;2.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;4.0;3.0
5136.0;2.0;1.0;0.0;4.0;5.0;1.0;21.0;2.358974358974359;3.0;2.0;3.0;3.0;2.0;2.0;3.0;3.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0;4.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;3.0;4.0;3.0;3.0;5.0;5.0;5.0;5.0;3.0;2.0;3.0;3.0;4.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;4.0;2.0;4.0;2.0;3.0;2.0;3.0;3.0;4.0;3.0
5137.0;2.0;1.0;0.0;9.0;13.0;0.0;12.0;2.5217391304347827;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0;5.0;3.0;2.0;3.0;4.0;2.0;3.0;2.0;4.0;2.0;3.0;4.0;3.0;5.0;4.0;5.0;5.0;3.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;2.0;3.0;3.0;5.0;2.0;4.0;3.0;4.0;3.0;3.0;2.0;3.0;2.0;4.0;3.0
5139.0;3.0;1.0;0.0;4.0;1.0;2.0;3.0;3.3877551020408165;2.0;1.0;2.0;4.0;3.0;4.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;4.0;4.0;4.0;2.0;3.0;3.0;2.0;3.0;4.0;4.0;4.0;3.0;5.0;5.0;5.0;5.0;3.0;2.0;3.0;4.0;5.0;0.0;3.0;4.0;0.0;2.0;5.0;4.0;4.0;5.0;5.0;3.0;3.0;3.0;2.0;4.0;3.0;0.0;3.0;4.0;3.0
5140.0;2.0;1.0;0.0;5.0;2.0;2.0;12.0;2.6666666666666665;3.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;2.0;3.0;2.0;3.0;2.0;2.0;3.0;4.0;2.0;2.0;4.0;3.0;3.0;4.0;2.0;3.0;3.0;5.0;4.0;4.0;5.0;5.0;5.0;5.0;4.0;2.0;3.0;2.0;4.0;3.0;3.0;3.0;2.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;3.0;3.0;2.0;3.0;4.0
5141.0;4.0;1.0;0.0;6.0;11.0;0.0;25.0;2.140845070422535;3.0;1.0;2.0;2.0;2.0;2.0;2.0;3.0;0.0;3.0;2.0;2.0;0.0;0.0;0.0;3.0;2.0;2.0;2.0;0.0;2.0;3.0;2.0;3.0;2.0;4.0;3.0;3.0;5.0;5.0;5.0;5.0;2.0;2.0;2.0;3.0;4.0;0.0;4.0;2.0;0.0;2.0;4.0;4.0;2.0;3.0;3.0;0.0;0.0;2.0;0.0;2.0;2.0;2.0;2.0;3.0;3.0
5144.0;3.0;1.0;0.0;0.0;1.0;0.0;3.0;2.5;0.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0
5145.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;3.111111111111111;3.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0
