IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;ALGEBRA I;AUTOMATIZACION INDUSTRIAL;CIRCUITOS ELECTRICOS I;CIRCUITOS ELECTRICOS II;COMPUTACION II;COMPUTACION I;CALCULO I;CALCULO II;CALCULO III;CALCULO IV;CALCULO V;DISENO ASISTIDO POR COMPUTADORA;DISENO TECNICO;ELECTROTECNIA I;ELECTROTECNIA II;ELECTRONICA  DIGITAL II;ELECTRONICA DE POTENCIA I;ELECTRONICA DE POTENCIA II;ELECTRONICA DIGITAL I;ELECTRONICA I;ELECTRONICA II;ELECTRONICA III;ELECTRONICA INDUSTRIAL;EMPRENDEDORISMO;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES II;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FUNDAMENTOS DE CONTROL  AUTOMATIZADO II;FUNDAMENTOS DE CONTROL AUTOMATIZADO I;FISICA I;FISICA II;FISICA III;FISICA IV;FISICA V;FISICA VI;GEOMETRIA ANALITICA;IDIOMAS I;INGLES I;INGLES II;INGLES III;INSTALACIONES ELECTRICAS I;LABORATORIO DE IDIOMAS I;MEDICION E INSTRUMENTACION;METODOLOGIA DE LA INVESTIGACION I;MICROCONTROLADORES;PROBABILIDADES Y ESTADISTICAS;PROGRAMACION EN LENGUAJE DE COMPUTADORAS;QUIMICA;SEGURIDAD E HIGIENE LABORAL;SIMULACION DE CIRCUITOS POR COMPUTADORA;ALGEBRA II;ETICA PROFESIONAL
5116;4.0;1;0.0;4;9;1;14.0;2.45;4.0;2.0;3.0;2.0;0.0;3.0;4.0;2.0;1.0;0.0;0.0;0.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;2.0;3.0;3.0;5.0;4.0;5.0;5.0;5.0;5.0;3.0;3.0;2.0;3.0;2.0;2.0;4.0;0.0;0.0;0.0;2.0;2.0;2.0;2.0;0.0;0.0;3.0;2.0;3.0;2.0;3.0;2.0;3.0;5.0;2.0;0.0
5117;3.0;1;0.0;0;0;0;2.0;2.125;0.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
5120;3.0;1;0.0;2;2;0;3.0;2.1818181818181817;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5121;2.0;2;0.0;9;12;1;23.0;2.3125;3.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;2.0;3.0;5.0;4.0;2.0;2.0;4.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;4.0;2.0;3.0;4.0;2.0;2.0;3.0;2.0;4.0;2.0;3.0;3.0;2.0;4.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;3.0;4.0;2.0;2.0
5122;3.0;1;0.0;0;1;0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5124;3.0;1;1.0;1;1;0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5138;4.0;2;1.0;6;2;2;13.0;2.5606060606060606;3.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;1.0;0.0;0.0;5.0;2.0;2.0;3.0;2.0;3.0;3.0;2.0;3.0;3.0;2.0;2.0;5.0;5.0;4.0;5.0;5.0;3.0;5.0;4.0;4.0;4.0;2.0;2.0;2.0;3.0;2.0;0.0;2.0;3.0;3.0;2.0;4.0;3.0;2.0;2.0;3.0;4.0;2.0;3.0;2.0;3.0;5.0;2.0;3.0
5147;3.0;1;1.0;3;2;0;3.0;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
5211;4.0;1;1.0;3;0;0;0.0;3.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;3.0
5212;4.0;1;1.0;4;3;2;5.0;2.6666666666666665;0.0;0.0;2.0;0.0;2.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;2.0;3.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;3.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;3.0;2.0;0.0;4.0;0.0;0.0;0.0;4.0;5.0;0.0;2.0
