IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;BASES DE DATOS I;BASES DE DATOS II;COMPUTACION I;COMPUTACION II;COMPUTACION III;CONTABILIDAD I;CALCULO I;CALCULO II;CALCULO III;DERECHO INTELECTUAL Y LABORAL;DISENO DE SISTEMA INFORMATICO I;DISENO TECNICO;ELECTRONICA I;EMPRENDEDORISMO;ESTRUCTURA DE DATOS I;ESTRUCTURAS DE LOS LENGUAJES;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES II;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FISICA I;FISICA II;FISICA III;GEOMETRIA ANALITICA Y VECTORIAL;IDIOMAS I;INFORMATICA I;INGENIERIA DE SOFTWARE I;INGLES II;INGLES III;INGLES I;INVESTIGACION DE OPERACIONES I;LABORATORIO DE IDIOMAS I;LABORATORIO I;LENGUAJE DE PROGRAMACION  I;LENGUAJE DE PROGRAMACION II;LENGUAJE DE PROGRAMACION IV;LENGUAJES DE PROGRAMACION III;MATEMATICA APLICADA;METODOLOGIA DE LA INVESTIGACION I;METODOS NUMERICOS;PROBABILIDADES Y ESTADISTICAS;QUIMICA;REDES DE COMPUTADORAS I;REDES DE COMPUTADORAS II;SISTEMAS OPERATIVOS I;SISTEMAS OPERATIVOS II;TALLER DE HARDWARE I;TALLER DE HARDWARE II;ALGEBRA I;ALGEBRA II;ETICA PROFESIONAL
5013.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5082.0;4.0;2.0;0.0;5.0;3.0;2.0;12.0;2.547169811320755;3.0;2.0;0.0;3.0;4.0;0.0;4.0;2.0;1.0;0.0;2.0;3.0;2.0;3.0;4.0;4.0;2.0;5.0;4.0;5.0;5.0;5.0;5.0;2.0;2.0;2.0;2.0;0.0;3.0;3.0;0.0;2.0;3.0;3.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;3.0;3.0;2.0;3.0;2.0;3.0;4.0;2.0;0.0;3.0
5083.0;4.0;1.0;0.0;8.0;12.0;1.0;9.0;2.8653846153846154;3.0;3.0;1.0;3.0;3.0;0.0;4.0;2.0;0.0;0.0;3.0;4.0;3.0;3.0;5.0;3.0;2.0;4.0;4.0;5.0;5.0;5.0;5.0;3.0;3.0;2.0;4.0;0.0;2.0;3.0;2.0;2.0;3.0;3.0;0.0;3.0;2.0;3.0;3.0;0.0;0.0;0.0;2.0;0.0;5.0;3.0;4.0;2.0;4.0;5.0;3.0;0.0;2.0;0.0;3.0
5085.0;2.0;1.0;0.0;6.0;5.0;2.0;4.0;3.440677966101695;2.0;3.0;4.0;4.0;5.0;4.0;5.0;2.0;2.0;2.0;5.0;4.0;3.0;3.0;5.0;4.0;3.0;5.0;3.0;5.0;4.0;5.0;5.0;4.0;4.0;2.0;4.0;3.0;5.0;4.0;3.0;5.0;4.0;4.0;5.0;3.0;3.0;3.0;4.0;5.0;4.0;2.0;3.0;2.0;3.0;3.0;4.0;3.0;3.0;3.0;4.0;4.0;4.0;2.0;3.0
5088.0;2.0;1.0;0.0;3.0;1.0;0.0;1.0;3.767857142857143;4.0;3.0;4.0;3.0;4.0;4.0;5.0;2.0;4.0;2.0;5.0;4.0;5.0;4.0;5.0;3.0;3.0;4.0;3.0;4.0;4.0;5.0;5.0;4.0;4.0;2.0;3.0;4.0;5.0;4.0;3.0;5.0;5.0;4.0;2.0;5.0;5.0;3.0;5.0;4.0;5.0;2.0;3.0;4.0;2.0;4.0;5.0;3.0;4.0;3.0;4.0;5.0;4.0;3.0;3.0
5089.0;4.0;1.0;0.0;6.0;3.0;2.0;3.0;3.0384615384615383;3.0;3.0;2.0;2.0;3.0;2.0;4.0;2.0;0.0;0.0;5.0;2.0;2.0;2.0;4.0;3.0;3.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;2.0;0.0;0.0;0.0;3.0;4.0;2.0;4.0;4.0;3.0;2.0;2.0;2.0;3.0;5.0;4.0;3.0;2.0;3.0;0.0;2.0;2.0;2.0;3.0;3.0;2.0;3.0;4.0;3.0;4.0;3.0
5090.0;2.0;2.0;0.0;5.0;0.0;4.0;4.0;3.4915254237288136;4.0;3.0;2.0;4.0;5.0;3.0;5.0;2.0;3.0;2.0;5.0;4.0;3.0;4.0;4.0;4.0;2.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;4.0;2.0;3.0;3.0;5.0;4.0;2.0;5.0;5.0;5.0;2.0;4.0;3.0;3.0;4.0;5.0;2.0;2.0;3.0;4.0;4.0;3.0;4.0;3.0;4.0;3.0;4.0;4.0;5.0;2.0;3.0
5092.0;2.0;1.0;0.0;4.0;3.0;2.0;6.0;3.19672131147541;3.0;3.0;4.0;4.0;2.0;2.0;5.0;2.0;2.0;2.0;4.0;4.0;2.0;3.0;5.0;4.0;3.0;5.0;4.0;5.0;5.0;5.0;5.0;3.0;4.0;2.0;2.0;2.0;5.0;5.0;3.0;4.0;4.0;3.0;3.0;2.0;2.0;4.0;5.0;4.0;3.0;2.0;3.0;3.0;2.0;3.0;4.0;3.0;3.0;5.0;4.0;4.0;2.0;3.0;5.0
5093.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5094.0;3.0;1.0;0.0;0.0;1.0;0.0;3.0;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5095.0;2.0;1.0;0.0;3.0;4.0;5.0;0.0;4.036363636363636;4.0;2.0;4.0;4.0;5.0;5.0;5.0;2.0;3.0;2.0;5.0;5.0;5.0;3.0;4.0;4.0;3.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.0;4.0;3.0;5.0;5.0;4.0;4.0;4.0;5.0;3.0;4.0;5.0;4.0;3.0;4.0;3.0;4.0;3.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0
5098.0;4.0;1.0;0.0;4.0;7.0;2.0;12.0;2.58;4.0;2.0;3.0;3.0;3.0;0.0;5.0;0.0;0.0;0.0;3.0;2.0;2.0;1.0;4.0;3.0;2.0;3.0;3.0;5.0;5.0;5.0;5.0;2.0;4.0;3.0;0.0;0.0;2.0;3.0;0.0;3.0;3.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;3.0;3.0;2.0;3.0;2.0;4.0;4.0;2.0;2.0;3.0
5099.0;2.0;1.0;0.0;6.0;6.0;2.0;3.0;3.5172413793103448;2.0;3.0;4.0;3.0;4.0;3.0;5.0;3.0;2.0;3.0;5.0;4.0;2.0;2.0;5.0;3.0;2.0;5.0;3.0;5.0;5.0;5.0;5.0;5.0;3.0;3.0;3.0;4.0;5.0;3.0;3.0;4.0;3.0;4.0;4.0;4.0;2.0;3.0;5.0;5.0;4.0;2.0;4.0;3.0;3.0;3.0;5.0;3.0;4.0;5.0;4.0;4.0;3.0;4.0;4.0
5100.0;2.0;1.0;0.0;4.0;1.0;2.0;4.0;3.3728813559322033;3.0;4.0;4.0;2.0;4.0;3.0;5.0;2.0;3.0;2.0;5.0;5.0;2.0;4.0;4.0;4.0;2.0;4.0;5.0;5.0;5.0;5.0;5.0;4.0;5.0;2.0;3.0;2.0;4.0;3.0;2.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;4.0;5.0;4.0;2.0;3.0;3.0;3.0;3.0;5.0;2.0;4.0;5.0;4.0;5.0;3.0;2.0;3.0
5102.0;2.0;1.0;0.0;5.0;3.0;1.0;4.0;3.3559322033898304;4.0;2.0;4.0;3.0;4.0;4.0;5.0;2.0;2.0;4.0;5.0;4.0;3.0;5.0;5.0;4.0;3.0;4.0;5.0;5.0;5.0;5.0;5.0;3.0;3.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;4.0;3.0;4.0;3.0;3.0;3.0;5.0;5.0;5.0;2.0;3.0;4.0;2.0;3.0;3.0;2.0;3.0;4.0;4.0;4.0;4.0;2.0;3.0
5184.0;4.0;1.0;0.0;6.0;1.0;1.0;12.0;2.6363636363636362;4.0;2.0;2.0;3.0;3.0;2.0;5.0;0.0;0.0;0.0;4.0;3.0;2.0;4.0;4.0;3.0;3.0;4.0;3.0;4.0;5.0;5.0;4.0;2.0;2.0;0.0;0.0;0.0;2.0;3.0;2.0;2.0;4.0;4.0;0.0;0.0;2.0;2.0;4.0;4.0;3.0;0.0;4.0;0.0;1.0;2.0;3.0;3.0;4.0;3.0;2.0;3.0;2.0;0.0;2.0
5185.0;3.0;1.0;0.0;1.0;4.0;0.0;5.0;2.1666666666666665;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;0.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
5187.0;2.0;1.0;0.0;6.0;4.0;1.0;9.0;2.9384615384615387;4.0;3.0;3.0;2.0;4.0;3.0;5.0;3.0;4.0;2.0;4.0;3.0;2.0;3.0;4.0;3.0;2.0;3.0;4.0;5.0;5.0;5.0;5.0;4.0;2.0;2.0;2.0;3.0;4.0;3.0;3.0;3.0;3.0;4.0;2.0;2.0;5.0;3.0;4.0;5.0;3.0;2.0;4.0;3.0;2.0;2.0;3.0;2.0;4.0;5.0;4.0;4.0;2.0;2.0;3.0
5188.0;2.0;1.0;0.0;4.0;3.0;2.0;8.0;2.8412698412698414;4.0;2.0;4.0;2.0;3.0;3.0;4.0;2.0;2.0;3.0;5.0;3.0;3.0;5.0;5.0;3.0;3.0;3.0;4.0;4.0;5.0;5.0;5.0;3.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0;3.0;4.0;4.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;5.0;2.0;2.0;2.0;3.0;3.0;4.0;3.0;4.0;3.0;4.0;3.0;2.0
5190.0;2.0;1.0;0.0;5.0;7.0;3.0;12.0;2.791044776119403;5.0;3.0;3.0;2.0;3.0;3.0;5.0;2.0;3.0;2.0;5.0;3.0;2.0;4.0;4.0;4.0;2.0;4.0;3.0;4.0;5.0;5.0;4.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;3.0;4.0;4.0;4.0;2.0;2.0;3.0;2.0;3.0;5.0;3.0;2.0;5.0;3.0;3.0;2.0;3.0;3.0;4.0;3.0;4.0;4.0;3.0;2.0;3.0
5191.0;3.0;1.0;0.0;1.0;0.0;0.0;1.0;2.933333333333333;3.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;5.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0
5192.0;4.0;2.0;0.0;6.0;6.0;1.0;19.0;2.4328358208955225;5.0;2.0;2.0;3.0;2.0;1.0;4.0;2.0;1.0;0.0;5.0;2.0;2.0;4.0;4.0;4.0;2.0;3.0;3.0;5.0;5.0;5.0;4.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;0.0;3.0;4.0;5.0;0.0;2.0;3.0;2.0;3.0;4.0;2.0;0.0;5.0;0.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;2.0
5196.0;4.0;2.0;0.0;3.0;1.0;1.0;19.0;2.4642857142857144;5.0;2.0;0.0;3.0;3.0;0.0;3.0;2.0;0.0;0.0;5.0;3.0;2.0;3.0;4.0;3.0;2.0;4.0;3.0;5.0;5.0;5.0;5.0;3.0;2.0;0.0;0.0;0.0;3.0;2.0;0.0;3.0;3.0;5.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0;3.0;3.0;0.0;3.0;2.0;3.0;4.0;2.0;0.0;2.0
5197.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;3.2857142857142856;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0
5199.0;4.0;1.0;0.0;6.0;10.0;2.0;16.0;2.7611940298507465;3.0;3.0;4.0;3.0;3.0;3.0;4.0;2.0;2.0;0.0;5.0;3.0;4.0;4.0;4.0;3.0;3.0;3.0;5.0;4.0;3.0;5.0;5.0;4.0;3.0;2.0;3.0;2.0;3.0;2.0;2.0;3.0;4.0;4.0;0.0;0.0;2.0;2.0;4.0;5.0;3.0;2.0;5.0;0.0;2.0;2.0;4.0;3.0;4.0;5.0;4.0;4.0;3.0;2.0;3.0
5200.0;4.0;2.0;0.0;6.0;3.0;3.0;13.0;2.3653846153846154;5.0;0.0;0.0;2.0;2.0;0.0;3.0;2.0;2.0;0.0;4.0;2.0;2.0;4.0;4.0;3.0;2.0;3.0;3.0;2.0;3.0;5.0;5.0;3.0;2.0;0.0;0.0;0.0;2.0;2.0;0.0;3.0;4.0;5.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;1.0;2.0
5301.0;2.0;2.0;0.0;8.0;10.0;1.0;15.0;2.557142857142857;4.0;3.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;5.0;3.0;2.0;2.0;4.0;5.0;5.0;4.0;5.0;3.0;3.0;4.0;3.0;3.0;3.0;2.0;2.0;3.0;5.0;4.0;2.0;2.0;2.0;2.0;4.0;5.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;2.0;4.0;3.0;3.0;3.0;4.0;3.0;2.0
5302.0;2.0;1.0;0.0;6.0;13.0;2.0;2.0;3.3684210526315788;2.0;4.0;3.0;2.0;5.0;4.0;4.0;2.0;3.0;3.0;5.0;5.0;3.0;4.0;3.0;4.0;2.0;3.0;4.0;4.0;3.0;4.0;5.0;3.0;4.0;4.0;3.0;2.0;4.0;3.0;5.0;5.0;2.0;4.0;2.0;2.0;3.0;4.0;4.0;4.0;4.0;2.0;3.0;2.0;3.0;3.0;5.0;3.0;5.0;5.0;5.0;3.0;3.0;3.0;2.0
5303.0;2.0;1.0;0.0;7.0;3.0;3.0;2.0;3.9298245614035086;5.0;5.0;5.0;2.0;5.0;5.0;4.0;2.0;3.0;3.0;5.0;5.0;3.0;2.0;3.0;5.0;2.0;3.0;3.0;5.0;5.0;3.0;5.0;5.0;4.0;4.0;3.0;4.0;5.0;4.0;5.0;5.0;5.0;4.0;3.0;2.0;5.0;4.0;5.0;4.0;5.0;3.0;5.0;4.0;4.0;3.0;4.0;5.0;5.0;5.0;5.0;4.0;5.0;3.0;3.0
